price_eur	year	km_age	mark
22840	2018	33833	Dacia
31860	2020	33780	Volkswagen
22820	2021	33600	Ford
22830	2021	33500	Audi
22850	2020	33400	BMW
22839	2021	33320	Audi
31860	2019	33200	Volkswagen
22850	2017	33000	Ford
25869	2018	32983	Opel
22860	2020	32970	Renault
22860	2019	32918	Volkswagen
25850	2020	32851	Volkswagen
22820	2021	32600	Ford
22490	2021	32484	Ford
22840	2019	32478	Ford
22850	2021	32455	Toyota
22850	2021	32429	Ford
36499	2017	32400	BMW
31840	2020	32400	Ford
22820	2021	32400	Ford
22850	2021	32355	Ford
22850	2018	32350	Opel
31840	2019	32330	Mercedes-Benz
25870	2019	32300	Seat
22840	2019	32250	Ford
25850	2021	31900	Ford
21901	2019	31782	Volkswagen
25850	2020	31685	Mercedes-Benz
22820	2021	31600	Mercedes-Benz
21890	2018	31380	Ford
22849	2018	31170	Ford
22850	2020	31167	Nissan
22550	2020	31000	Mercedes-Benz
22820	2021	31000	Ford
22849	2020	30673	BMW
22849	2020	30653	Mercedes-Benz
22860	2019	30558	BMW
22800	2021	30450	Audi
22201	2019	30375	Audi
22850	2019	30212	Volkswagen
51700	2021	30000	Mitsubishi
25870	2019	29957	Audi
22480	2019	29950	Fiat
25870	2019	29943	Volkswagen
23467	2019	29902	Opel
25870	2019	29800	Jaguar
24300	2021	29791	Peugeot
22820	2020	29674	Mercedes-Benz
25590	2021	29671	Ford
69555	2021	29600	Volkswagen
22850	2019	29396	Volkswagen
25870	2020	29381	Volkswagen
25850	2020	29117	Volkswagen
31859	2019	29000	Volkswagen
25870	2019	28999	Toyota
22420	2021	28900	Ford
22800	2019	28500	Skoda
22832	2020	28497	Audi
51700	2021	27900	Audi
22849	2022	27848	Smart
25850	2018	27694	Audi
22840	2019	27672	Volkswagen
25870	2017	27600	Mercedes-Benz
22440	2020	27530	Smart
22830	2020	27500	Renault
28000	2020	27420	Opel
22840	2021	27200	Volkswagen
25150	2019	27179	Volkswagen
22840	2019	27155	BMW
22850	2019	26947	Volkswagen
31859	2021	26898	Opel
25850	2020	26860	Volkswagen
22840	2021	26750	Volkswagen
22830	2020	26709	Opel
25865	2022	26700	Volkswagen
22850	2018	26636	Volkswagen
22860	2019	26600	Mercedes-Benz
22424	2019	26500	Ford
22850	2020	26500	Toyota
25870	2020	26490	Fiat
25865	2022	26430	BMW
22800	2019	26380	Volkswagen
22840	2019	26010	Volkswagen
25850	2021	25749	MINI
22860	2019	25700	Volkswagen
22840	2022	25700	Skoda
22849	2018	25618	Volvo
22840	2020	25590	Audi
25870	2019	25559	Volkswagen
25850	2021	25459	Mercedes-Benz
25850	2021	25300	Audi
22802	2019	25227	Mercedes-Benz
22830	2022	25182	Volkswagen
28110	2021	25125	Toyota
25850	2021	25000	Toyota
25850	2019	24990	Audi
22840	2020	24777	Opel
22979	2020	24700	Opel
22850	2020	24490	Renault
22820	2020	24364	Toyota
22598	2014	24215	Mazda
25870	2019	24131	Mercedes-Benz
22849	2020	24095	Land_Rover
22850	2019	24048	Fiat
25870	2020	24000	Opel
22800	2020	24000	Volkswagen
22850	2019	23800	Kia
22849	2020	23633	Skoda
24850	2021	23619	Volvo
22833	2020	23577	BMW
25300	2019	23412	Volkswagen
22840	2021	23356	Peugeot
